<SESSION>
<VERSION>
2
<\VERSION>
<DATE>
2017-08-15 10:25:36
<\DATE>
<SUBJECT-ID>
c57-1mois-F6-2b
<\SUBJECT-ID>
<NOTE>

<\NOTE>
<MIN-MAX-PLOT>
0.100000 51880.761719
<\MIN-MAX-PLOT>
<STIMULUS-DEFINED>
Default
Default Human Relative Spectral Sensitivity
1	0
1	0.500000	0.500000	29.000000	3	3	2.000000	-100.000000	0.100000	-100.000000	0
<\STIMULUS-DEFINED>
<STIMULUS-GENERATED>
4
0	0	0.000000	3	0.000000	0.000000	3	0.000000	0.000000
0	1	0.509000	3	1.893833	100.059952	3	0.000000	0.000000
0	4	1.018000	3	0.000000	0.000000	3	0.000000	0.000000
-1	5	30.027000	0	0.000000	0.000000	0	0.000000	0.000000
<\STIMULUS-GENERATED>
<RIGHT-PUPIL-DATA>
903	1
1	-0.066000	1.620725	333.506256	313.493744
1	-0.019000	1.640580	334.375000	314.125000
1	0.012000	1.622319	334.500000	313.437500
1	0.043000	1.625507	334.424988	313.512512
1	0.074000	1.632029	334.468750	314.281250
1	0.105000	1.634783	333.000000	313.500000
1	0.137000	1.626667	334.375000	314.562500
1	0.168000	1.629855	334.312500	314.937500
1	0.215000	1.620580	334.475006	314.350006
1	0.246000	1.622899	334.587494	314.462494
1	0.277000	1.646377	334.562500	314.062500
1	0.308000	1.625362	334.393738	314.406250
1	0.339000	1.631449	334.681244	314.306244
1	0.371000	1.640290	334.212494	313.787506
1	0.402000	1.647102	334.481171	313.868744
1	0.433000	1.645797	334.699982	314.149994
1	0.480000	1.636377	334.518738	313.718750
1	0.511000	1.614638	334.581238	314.581238
1	0.542000	1.631449	334.618744	314.306244
1	0.573000	1.635942	334.475006	314.274994
1	0.605000	1.634783	334.500000	314.000000
1	0.636000	1.611594	335.500000	315.000000
1	0.667000	1.625507	334.500000	314.375000
1	0.714000	1.599420	335.000000	314.500000
1	0.745000	1.704348	335.000000	313.500000
1	0.776000	1.650725	334.887512	312.887512
1	0.807000	1.657536	334.931244	313.181244
1	0.839000	1.616377	334.443756	313.393768
1	0.870000	1.634783	335.000000	313.500000
