<SESSION>
<VERSION>
2
<\VERSION>
<DATE>
2017-10-31 11:52:17
<\DATE>
<SUBJECT-ID>
C57BL6-28.09.17-DA-1mois-M1-0.6b
<\SUBJECT-ID>
<NOTE>

<\NOTE>
<MIN-MAX-PLOT>
0.100000 51880.761719
<\MIN-MAX-PLOT>
<STIMULUS-DEFINED>
Default
Default Human Relative Spectral Sensitivity
1	0
1	0.500000	0.500000	29.000000	3	3	0.600000	-100.000000	0.100000	-100.000000	0
<\STIMULUS-DEFINED>
<STIMULUS-GENERATED>
4
0	0	0.000000	3	0.000000	0.000000	3	0.000000	0.000000
0	1	0.509000	3	0.075823	4.006067	3	0.000000	0.000000
0	4	1.019000	3	0.000000	0.000000	3	0.000000	0.000000
-1	5	30.028000	0	0.000000	0.000000	0	0.000000	0.000000
<\STIMULUS-GENERATED>
<RIGHT-PUPIL-DATA>
903	1
1	-0.051000	1.064203	226.756256	307.256256
1	-0.020000	1.024928	227.787506	310.274994
1	0.011000	1.078261	228.000000	308.000000
1	0.042000	1.043478	230.000000	310.000000
1	0.074000	1.081449	228.574982	308.225006
0	0.105000	1.335797	232.443756	302.556244
1	0.152000	1.057536	230.181244	307.681244
1	0.183000	1.070145	229.424988	305.875000
1	0.214000	1.069420	228.818756	305.318756
1	0.245000	1.095652	229.000000	304.000000
0	0.276000	1.472899	237.131256	301.318756
0	0.308000	1.422318	236.237640	300.537567
1	0.339000	1.381159	231.137512	298.187500
0	0.370000	1.494058	237.518738	302.218750
1	0.417000	1.072319	228.656250	303.906250
0	0.448000	1.340290	232.337494	300.399994
1	0.479000	1.070580	230.131256	306.131256
1	0.510000	1.070145	229.875000	303.875000
1	0.542000	1.079275	229.556244	306.006256
1	0.573000	1.078841	229.000000	305.000000
0	0.604000	1.453769	239.143616	300.443726
0	0.651000	1.484058	236.000000	302.000000
1	0.682000	1.078261	228.250000	305.250000
1	0.713000	1.061449	229.750000	305.750000
1	0.744000	1.060870	230.125000	305.875000
1	0.776000	1.043478	230.000000	306.000000
0	0.807000	1.475073	236.462494	302.037506
1	0.838000	1.005797	228.000000	306.500000
1	0.885000	1.259710	230.475006	299.149994
1	0.916000	0.939130	229.000000	306.000000
1	0.947000	0.927101	228.131256	306.681244
1	0.978000	0.914638	228.406250	306.593750
1	1.010000	0.874058	228.881256	307.118744
1	1.041000	0.852174	229.000000	307.000000
1	1.072000	0.860290	228.674988	306.000000
1	1.103000	0.814638	229.281250	307.331238
1	1.150000	0.794058	229.968750	307.906250
0	1.181000	0.672464	226.000000	306.000000
1	1.212000	0.782754	228.743744	309.631195
0	1.244000	1.380580	239.162506	303.837494
0	1.275000	1.023188	233.250000	298.250000
1	1.306000	0.736232	229.000000	309.000000
1	1.337000	0.690725	228.937500	309.562500
0	1.384000	0.664058	228.774994	309.274994
1	1.415000	0.742319	229.337494	310.337494
0	1.446000	1.341884	240.281250	304.281250
1	1.478000	0.579710	229.500000	308.500000
0	1.509000	0.573333	229.875000	309.250000
0	1.540000	1.053333	235.149994	300.899994
0	1.571000	0.576812	230.750000	310.000000
1	1.618000	0.765217	230.000000	314.000000
0	1.649000	0.938551	233.000000	302.000000
1	1.680000	0.765797	230.750000	316.000000
1	1.712000	0.808841	228.368744	315.368744
1	1.743000	0.758841	229.225006	314.537506
1	1.774000	0.857971	230.000000	314.000000
1	1.805000	0.796812	227.962494	315.962494
0	1.836000	1.196666	232.193878	310.906403
0	1.883000	1.007102	226.531250	306.981262
1	1.914000	0.817681	228.149994	316.712494
0	1.946000	1.321739	238.000000	314.000000
1	1.977000	0.775072	227.887482	320.274994
1	2.008000	0.784203	227.468750	321.031250
1	2.039000	0.789710	227.968750	323.631287
1	2.070000	0.787536	227.687500	321.687500
1	2.117000	0.804928	227.312500	323.187500
1	2.148000	0.805797	227.906250	321.843750
1	2.180000	0.798841	226.899994	321.850006
1	2.211000	0.846377	227.000000	325.000000
0	2.242000	0.765217	226.000000	318.000000
